gene_id,gene_symbol,gene_description
816349,AT2G18340,late embryogenesis abundant domain-containing protein / LEA domain-containing protein
57120,GOPC,golgi associated PDZ and coiled-coil motif containing
313494,Tln1,talin 1
10750,GRAP,GRB2 related adaptor protein
946706,napC,periplasmic nitrate reductase cytochrome c protein
27274,Zfp354b,zinc finger protein 354B
2543116,pcu4,cullin 4
853352,TOK1,Tok1p
3346162,Gfrl,Glial cell line-derived neurotrophic family receptor-like
14029,Evx2,even-skipped homeobox 2
830431,AT5G05480,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein
32796,ari-1,ariadne 1
14756,Gpld1,glycosylphosphatidylinositol specific phospholipase D1
36255,pyr,pyramus
24223,B2m,beta-2 microglobulin
820333,AT3G11600,E3 ubiquitin-protein ligase
122772,Rps20,ribosomal protein S20
235627,Nbeal2,neurobeachin-like 2
561160,abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
4241,MELTF,melanotransferrin
836647,AT5G65220,Ribosomal L29 family protein
27229,TUBGCP4,tubulin gamma complex associated protein 4
108017,Fxyd4,FXYD domain-containing ion transport regulator 4
26999,CYFIP2,cytoplasmic FMR1 interacting protein 2
1450246,cydX,cytochrome bd-I ubiquinol oxidase accessory subunit CydX
135138,PACRG,parkin coregulated
28721166,RTFL18,ROTUNDIFOLIA like 18
2541468,shk2,PAK-like kinase Shk2
813672,PF3D7_1322100,histone-lysine N-methyltransferase SET2
84243,ZDHHC18,zinc finger DHHC-type palmitoyltransferase 18
840472,RPL21C,Ribosomal protein L21
252884,ZNF396,zinc finger protein 396
315196,Wnt7b,Wnt family member 7B
827,CAPN6,calpain 6
25586,Alpl,"alkaline phosphatase, biomineralization associated"
854530,PUT4,proline permease PUT4
830754,AT5G08540,ribosomal RNA small subunit methyltransferase J
83500,Slc22a8,solute carrier family 22 member 8
493639,PTGES2,prostaglandin E synthase 2
3346237,nab,nab
109801,Glo1,glyoxalase 1
843911,TUB1,tubulin beta-1 chain
173738,sea-2,Signal element on autosome protein 2
80173,IFT74,intraflagellar transport 74
339488,TFAP2E,transcription factor AP-2 epsilon
823486,AT3G43750,RING/U-box protein with C6HC-type zinc finger domain-containing protein
232286,Tmf1,TATA element modulatory factor 1
60637,pax8,paired box 8
54471,MIEF1,mitochondrial elongation factor 1
11171,STRAP,serine/threonine kinase receptor associated protein
948267,rbsD,D-ribose pyranase
65038,Inppl1,inositol polyphosphate phosphatase-like 1
214133,Tet2,tet methylcytosine dioxygenase 2
140628,GATA5,GATA binding protein 5
83695,RHNO1,RAD9-HUS1-RAD1 interacting nuclear orphan 1
824847,CAM3,calmodulin 3
727910,TLCD2,TLC domain containing 2
12775,Ccr7,chemokine (C-C motif) receptor 7
12048,Bcl2l1,BCL2-like 1
2539050,rik1,silencing protein Rik1
16542,Kdr,kinase insert domain protein receptor
85497,Klf15,Kruppel-like factor 15
838749,AT1G21500,hypothetical protein
151963,MB21D2,Mab-21 domain containing 2
12753,Clock,circadian locomotor output cycles kaput
29215,Arg2,arginase 2
8824,CES2,carboxylesterase 2
55818,KDM3A,lysine demethylase 3A
50933,Uchl3,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
13682,Eif4a2,eukaryotic translation initiation factor 4A2
76743,Gje1,"gap junction protein, epsilon 1"
282546,Arid1b,AT-rich interaction domain 1B
299606,Elane,"elastase, neutrophil expressed"
186047,amt-2,Putative ammonium transporter 2
8031,NCOA4,nuclear receptor coactivator 4
30814,PLA2G2E,phospholipase A2 group IIE
828144,NAC069,NAC domain containing protein 69
43330,ALiX,ALG-2 interacting protein X
393600,cdkal1,CDK5 regulatory subunit associated protein 1-like 1
12717,ckr,chakragati
842459,ENT7,equilibrative nucleoside transporter 7
830765,FLS1,flavonol synthase 1
559775,lman1,"lectin, mannose-binding, 1"
3772232,fabp,fatty acid binding protein
51075,TMX2,thioredoxin related transmembrane protein 2
81907,Tmem108,transmembrane protein 108
945790,chaA,Na(+)/K(+):H(+) antiporter ChaA
10235,RASGRP2,RAS guanyl releasing protein 2
831183,TRA2,Aldolase-type TIM barrel family protein
102997060,znf219,zinc finger protein 219
41292,Desi,Desiccate
175753,lon-1,Protein lon-1;SCP domain-containing protein
8677,STX10,syntaxin 10
74682,Wdr35,WD repeat domain 35
55120,FANCL,FA complementation group L
825838,GSL1,glucan synthase-like 1
55572,FOXRED1,FAD dependent oxidoreductase domain containing 1
427850,RELN,reelin
322330,rnasel1,ribonuclease like 1
67088,Cand2,cullin-associated and neddylation-dissociated 2 (putative)
7486,WRN,WRN RecQ like helicase
171138,Kcne2,potassium voltage-gated channel subfamily E regulatory subunit 2
828681,GDU2,glutamine dumper 2
414346,PPIF,peptidylprolyl isomerase F
834695,AT5G46520,Disease resistance protein (TIR-NBS-LRR class) family
856611,MNL1,"alpha-1,2-mannosidase MNL1"
54984,PINX1,PIN2 (TERF1) interacting telomerase inhibitor 1
949048,waaA,KDO transferase
2542967,rhp41,DNA repair protein Rhp41
838762,AT1G21610,wound-responsive family protein
944769,idnD,L-idonate 5-dehydrogenase
41353,Arfip,Arfaptin
841269,RKL1,receptor-like kinase 1
213439,Gpr174,G protein-coupled receptor 174
100005313,hcar1-2,hydroxycarboxylic acid receptor 1-2
816598,LLG2,LORELEI-LIKE-GPI ANCHORED PROTEIN 2
853595,MNS1,"mannosyl-oligosaccharide 1,2-alpha-mannosidase"
822537,AAR3,defective in cullin neddylation protein (DUF298)
286908,Pdlim7,PDZ and LIM domain 7
175182,ver-1,Protein ver-1
1448,CSN3,casein kappa
852397,FES1,Fes1p
829478,SPPL1,SIGNAL PEPTIDE PEPTIDASE-LIKE 1
171834,snr-7,putative small nuclear ribonucleoprotein G
832172,AT5G20500,Glutaredoxin family protein
14462415,lncRNA:CR43862,long non-coding RNA:CR43862
68581,Tmed10,transmembrane p24 trafficking protein 10
8621266,psiF,PA14 domain-containing protein
854182,PET127,Pet127p
181550,ram-5,ZP domain-containing protein
793727,gnl2,guanine nucleotide binding protein-like 2 (nucleolar)
180206,hmit-1.2,Proton myo-inositol cotransporter hmit-1.2
170822,Usp33,ubiquitin specific peptidase 33
944991,frmB,S-formylglutathione hydrolase FrmB
831010,WIT1,WPP domain-interacting protein 1
23410,SIRT3,sirtuin 3
43758,RhoGAP100F,Rho GTPase activating protein at 100F
42495,HHEX,Hematopoietically expressed homeobox
856142,CSR2,Csr2p
9368,SLC9A3R1,SLC9A3 regulator 1
172174,erm-1,Moesin/ezrin/radixin homolog 1
818634,AtCaN2,Ca(2+)-dependent nuclease family protein
116085,SLC22A12,solute carrier family 22 member 12
829185,AT4G30620,"Putative BCR, YbaB family COG0718"
397410,NPC2,NPC intracellular cholesterol transporter 2
29818,Hspb7,"heat shock protein family, member 7 (cardiovascular)"
3361460,bsu1,vitatmin B6 import carrier Bsu1
18040,Nefm,"neurofilament, medium polypeptide"
2539101,gma12,"alpha-1,2-galactosyltransferase Gma12"
8619886,gpbB,hypothetical protein
571775,zgc:162025,zgc:162025
245446,Slitrk4,"SLIT and NTRK-like family, member 4"
31843,fend,forked end
4379907,Mkp,MAP kinase-specific phosphatase
234214,Sorbs2,sorbin and SH3 domain containing 2
172518,wdr-23,DDB1-and CUL4-associated factor 11 homolog
3646,EIF3E,eukaryotic translation initiation factor 3 subunit E
33689,Mon1,Monensin sensitivity 1
322309,sirt2,"sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)"
403752,TJP1,tight junction protein 1
825143,AT3G59740,Concanavalin A-like lectin protein kinase family protein
843175,IPT1,isopentenyltransferase 1
67972,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1"
2540398,dis3,putative 3'-5' exoribonuclease subunit Dis3
821545,UBC19,ubiquitin-conjugating enzyme19
366270,Edn3,endothelin 3
58814,Tmod2,tropomodulin 2
945687,cobB,CobB-S;protein-lysine deacetylase/desuccinylase/lipoamidase
183210,mutd-1,Biogenesis of lysosome-related organelles complex 1 subunit 5
827562,NCED2,nine-cis-epoxycarotenoid dioxygenase 2
41746,spn-B,spindle B
855357,NIP1,translation initiation factor eIF3 core subunit c
50875,Tmod3,tropomodulin 3
23517,MTREX,Mtr4 exosome RNA helicase
310090,Ddx4,DEAD-box helicase 4
31680,Hira,hira
5658295,els,ellsworth
16168,Il15,interleukin 15
5656865,Cp70,Chorion protein 70
832767,AGL54,AGAMOUS-like 54
850320,SRO9,Sro9p
40908,alpha-Est2,alpha-Esterase-2
9517,SPTLC2,serine palmitoyltransferase long chain base subunit 2
37778,gbb,glass bottom boat
5929,RBBP5,"RB binding protein 5, histone lysine methyltransferase complex subunit"
4535,ND1,NADH dehydrogenase subunit 1
839254,AT1G01710,acyl-CoA thioesterase II
322795,csrnp1b,cysteine-serine-rich nuclear protein 1b
10324,KLHL41,kelch like family member 41
78975,Prkaa2,protein kinase AMP-activated catalytic subunit alpha 2
393462,aldh2.1,"aldehyde dehydrogenase 2 family member, tandem duplicate 1"
387195,Mir19b-2,microRNA 19b-2
49821,EbpIII,Ejaculatory bulb protein III
67122,Nrarp,Notch-regulated ankyrin repeat protein
43788,Hcf,Host cell factor
171329,Usp15,ubiquitin specific peptidase 15
8310,ACOX3,"acyl-CoA oxidase 3, pristanoyl"
181916,sdz-1,Skn-1 dependent zygotic transcript 1 protein
851592,REG1,protein phosphatase regulator REG1
2540362,ceg1,mRNA guanylyltransferase Ceg1
53919,SLCO1C1,solute carrier organic anion transporter family member 1C1
57110,PLAAT1,phospholipase A and acyltransferase 1
853363,IML2,Iml2p
850563,MIC19,Mic19p
18293,Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
946360,pagP,Lipid A palmitoyltransferase
946434,amyA,alpha-amylase
834066,AT5G40660,ATP12 protein-like protein
832474,CHIA,chitinase A
100049546,Mir743,microRNA 743
20544,Slc9a1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1"
854910,COX14,Cox14p
232906,Arhgap35,Rho GTPase activating protein 35
326255,eIF4EHP,eukaryotic translation initiation factor 4E homologous protein
839869,CAB3,chlorophyll A/B binding protein 3
100321338,slc2a1b,solute carrier family 2 member 1b
23417,MLYCD,malonyl-CoA decarboxylase
31106,sta,stubarista
819306,POL,Protein phosphatase 2C family protein
2847707,rtcA,RNA 3'-terminal phosphate cyclase
812240,PF3D7_1469000,translation initiation factor IF-1
829739,AT4G35850,Pentatricopeptide repeat (PPR) superfamily protein
236781,Gpr119,G-protein coupled receptor 119
2540318,sol1,SWI/SNF complex subunit Sol1
7922548,AT3G05345,Chaperone DnaJ-domain superfamily protein
418125,PTN,pleiotrophin
11811,Apobec2,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2"
283629,TSSK4,testis specific serine kinase 4
820790,NAC2,NAC domain containing protein 2
387216,Mir23a,microRNA 23a
4808,NHLH2,nescient helix-loop-helix 2
81530,Pdk2,pyruvate dehydrogenase kinase 2
831561,AT5G16980,Zinc-binding dehydrogenase family protein
945182,hybC,hydrogenase 2 large subunit
406924,MIR134,microRNA 134
7266,DNAJC7,DnaJ heat shock protein family (Hsp40) member C7
4638,MYLK,myosin light chain kinase
322462,sult6b1,"sulfotransferase family, cytosolic, 6b, member 1"
563892,cald1b,caldesmon 1b
29578,Hnrnpa1,heterogeneous nuclear ribonucleoprotein A1
23887,Ggt5,gamma-glutamyltransferase 5
563149,lrp1aa,low density lipoprotein receptor-related protein 1Aa
7335,UBE2V1,ubiquitin conjugating enzyme E2 V1
328092,Dtd2,D-tyrosyl-tRNA deacylase 2
948522,metH,cobalamin-dependent methionine synthase
948092,yiaN,"2,3-diketo-L-gulonate:Na(+) symporter - membrane subunit"
179424,akt-1,Serine/threonine-protein kinase akt-1
43895,E23,Early gene at 23
851324,ACK1,Ack1p
50808,AK3,adenylate kinase 3
539771,SMUG1,single-strand-selective monofunctional uracil-DNA glycosylase 1
814675,STL2P,SEC12P-like 2 protein
12350,Car3,carbonic anhydrase 3
555521,prkcq,"protein kinase C, theta"
84277,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30
2847724,tdcG,L-serine deaminase III
54874,FNBP1L,formin binding protein 1 like
269023,Zfp608,zinc finger protein 608
380614,Intu,inturned planar cell polarity protein
259580,bbs-2,Bardet-Biedl syndrome 2 protein homolog
829521,CER4,Jojoba acyl CoA reductase-related male sterility protein
182722,unc-75,RRM domain-containing protein
405891,esrra,estrogen-related receptor alpha
22916,NCBP2,nuclear cap binding protein subunit 2
192646,Mtnr1b,melatonin receptor 1B
320022,Terb1,telomere repeat binding bouquet formation protein 1
834923,AT5G48655,RING/U-box superfamily protein
336839,cdc42,cell division cycle 42
948773,rraB,ribonuclease E inhibitor protein B
948765,bdcA,c-di-GMP-binding biofilm dispersal mediator protein
52679,E2f7,E2F transcription factor 7
103534,Mgat4b,"mannoside acetylglucosaminyltransferase 4, isoenzyme B"
834384,AT5G43640,Ribosomal protein S19 family protein
70620,Ube2v2,ubiquitin-conjugating enzyme E2 variant 2
246216,Prpf19,pre-mRNA processing factor 19
843796,CYP98A9,"cytochrome P450, family 98, subfamily A, polypeptide 9"
18185,Nrl,neural retina leucine zipper gene
949,SCARB1,scavenger receptor class B member 1
406468,dhdds,dehydrodolichyl diphosphate synthase
109648,Npy,neuropeptide Y
18970,Polb,"polymerase (DNA directed), beta"
8616670,abpA,actin binding protein A
948762,treC,trehalose-6-phosphate hydrolase
56374,Tmem59,transmembrane protein 59
64062,RBM26,RNA binding motif protein 26
57493,HEG1,heart development protein with EGF like domains 1
33562,Cog3,Component of oligomeric golgi complex 3
550506,nsmaf,neutral sphingomyelinase (N-SMase) activation associated factor
840181,NAC13,NAC domain protein 13
173613,sup-9,Two pore potassium channel protein sup-9
31620,pod1,pod1 coronin
114423,f7,coagulation factor VII
568935,git1,G protein-coupled receptor kinase interacting ArfGAP 1
286451,YIPF6,Yip1 domain family member 6
37769,Nxt1,NTF2-related export protein 1
843308,HO3,heme oxygenase 3
55683,KANSL3,KAT8 regulatory NSL complex subunit 3
8618266,egeA,C2 domain-containing protein
237979,Sdk2,sidekick cell adhesion molecule 2
172243,rnt-1,Runt domain-containing protein
796782,myo1hb,myosin IHb
149603,RNF187,ring finger protein 187
362862,Hsp90b1,heat shock protein 90 beta family member 1
842523,MEF9,mitochondrial editing factor 9
176580,tin-10,Mitochondrial import inner membrane translocase subunit Tim10
850581,HIS2,histidinol-phosphatase
35784,Nup50,Nucleoporin 50kD
843110,CSK,chloroplast sensor kinase
25244,Bckdha,branched chain keto acid dehydrogenase E1 subunit alpha
49895,Marf1,Meiosis regulator and mRNA stability factor 1
2542727,myh1,adenine DNA glycosylase Myh1
34236,Or30a,Odorant receptor 30a
45500,l(2)k08634,lethal (2) k08634
830724,HEMC,hydroxymethylbilane synthase
20591,Kdm5c,lysine (K)-specific demethylase 5C
12189,Brca1,"breast cancer 1, early onset"
826849,Hop3,stress-inducible protein
3136,HLA-H,"major histocompatibility complex, class I, H (pseudogene)"
2539041,caf1,CCR4-Not complex CAF1 family ribonuclease subunit Caf1
25651,Selp,selectin P
173956,zyg-1,putative serine/threonine-protein kinase zyg-1
171458,Ipmk,inositol polyphosphate multikinase
2869223,AN8232.2,hypothetical protein
544752,Tug1,taurine upregulated gene 1
7517,XRCC3,X-ray repair cross complementing 3
852476,EHT1,medium-chain fatty acid ethyl ester synthase/esterase
39733,Pka-C3,"Protein kinase, cAMP-dependent, catalytic subunit 3"
366126,Spi1,Spi-1 proto-oncogene
559679,ptprja,protein tyrosine phosphatase receptor type Ja
17463,Psmd7,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7"
820288,FAD7,fatty acid desaturase 7
170656,Krtap21-1,keratin associated protein 21-1
272381,Lrrc4b,leucine rich repeat containing 4B
122509,IFI27L1,interferon alpha inducible protein 27 like 1
853482,BNA1,"3-hydroxyanthranilate 3,4-dioxygenase"
171357,Ptprg,"protein tyrosine phosphatase, receptor type, G"
817278,OTLD1,OTU-like cysteine protease family protein
12477,Ctla4,cytotoxic T-lymphocyte-associated protein 4
44531,rg,rugose
24943,Plp1,proteolipid protein 1
828616,PMSR4,peptide met sulfoxide reductase 4
100361138,Dgkq,"diacylglycerol kinase, theta"
54825,CDHR2,cadherin related family member 2
854995,UBX2,Ubx2p
74781,Wipi2,"WD repeat domain, phosphoinositide interacting 2"
252671,X11L,X11L
36312467,PF3D7_0314200,"conserved Plasmodium protein, unknown function"
5216,PFN1,profilin 1
6540,SLC6A13,solute carrier family 6 member 13
80732,Mynn,myoneurin
9213,XPR1,xenotropic and polytropic retrovirus receptor 1
243621,Iqsec3,IQ motif and Sec7 domain 3
841029,CH1,Pheophorbide a oxygenase family protein with Rieske 2Fe-2S domain-containing protein
839511,AT1G04480,Ribosomal protein L14p/L23e family protein
6421,SFPQ,splicing factor proline and glutamine rich
83533,Aifm1,"apoptosis inducing factor, mitochondria associated 1"
39055,Slc45-1,Solute carrier family 45 member 1
6892,TAPBP,TAP binding protein
25366,Acvr2b,activin A receptor type 2B
374213,ACVR2B,activin A receptor type 2B
554204,polb,"polymerase (DNA directed), beta"
853869,MET14,adenylyl-sulfate kinase
8351,H3C4,H3 clustered histone 4
16681,Krt2,keratin 2
71770,Ap2b1,"adaptor-related protein complex 2, beta 1 subunit"
229731,Slc25a24,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24"
259839,unc-54,Myosin-4
14663,Glycam1,glycosylation dependent cell adhesion molecule 1
811396,PF3D7_1235600,serine hydroxymethyltransferase
2538888,phb2,putative prohibitin Phb2
854590,SCEI,intron-encoded endonuclease I-SceI
113960,Cdc42bpb,CDC42 binding protein kinase beta
230822,Ncmap,noncompact myelin associated protein
116659,Dync1i2,dynein cytoplasmic 1 intermediate chain 2
276770,Eif5a,eukaryotic translation initiation factor 5A
16403,Itga6,integrin alpha 6
818079,AT2G35130,Tetratricopeptide repeat (TPR)-like superfamily protein
5460,POU5F1,POU class 5 homeobox 1
822017,AMT1;5,ammonium transporter 1;5
853781,TEF4,translation elongation factor EF1B gamma
818708,AT2G41090,Calcium-binding EF-hand family protein
318918,Kdm4B,Lysine (K)-specific demethylase 4B
722,C4BPA,complement component 4 binding protein alpha
40732,ECSIT,ECSIT
100000151,si:dkey-22o12.2,si:dkey-22o12.2
822361,AT3G27400,Pectin lyase-like superfamily protein
1783,DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2
295928,Slc39a13,solute carrier family 39 member 13
26554,Cul3,cullin 3
117166,WFIKKN1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
83959,SLC4A11,solute carrier family 4 member 11
329693,Fcrl5,Fc receptor-like 5
22832,CEP162,centrosomal protein 162
35646,Gadd45,Growth arrest and DNA damage-inducible 45
795167,rac3b,Rac family small GTPase 3b
387258,foxi3b,forkhead box I3b
37978,Atf-2,Activating transcription factor-2
100134855,mst1rb,macrophage stimulating 1 receptor b
178272,ced-3,Cell death protein 3 subunit p17
568794,col17a1b,"collagen, type XVII, alpha 1b"
573971,DHFRP1,dihydrofolate reductase pseudogene 1
114132,SIGLEC11,sialic acid binding Ig like lectin 11
7782,SLC30A4,solute carrier family 30 member 4
2252,FGF7,fibroblast growth factor 7
